Район,Округ,Номер избирательного округа,Номер ТИК,Номер УИК,Количество избирателей,Примечание,Примечание
Адмиралтейский,муниципальный округ Коломна,1.0,1,1,0,,42566
Адмиралтейский,муниципальный округ Коломна,1.0,1,2,0,,42565
Адмиралтейский,муниципальный округ Коломна,1.0,1,3,0,,42568
Адмиралтейский,муниципальный округ Коломна,1.0,1,4,0,,42569
Адмиралтейский,муниципальный округ Коломна,1.0,1,5,0,,42564
Адмиралтейский,муниципальный округ Коломна,1.0,1,6,0,,42558
Адмиралтейский,муниципальный округ Коломна,1.0,1,7,0,,42544
Адмиралтейский,муниципальный округ Коломна,2.0,1,8,0,,42555
Адмиралтейский,муниципальный округ Коломна,2.0,1,9,0,,42554
Адмиралтейский,муниципальный округ Коломна,2.0,1,10,0,,42549
Адмиралтейский,муниципальный округ Коломна,2.0,1,11,0,,42548
Адмиралтейский,муниципальный округ Коломна,2.0,1,12,0,,42550
Адмиралтейский,муниципальный округ Коломна,2.0,1,14,0,,42552
Адмиралтейский,муниципальный округ Сенной округ,3.0,1,15,0,,42553
Адмиралтейский,муниципальный округ Сенной округ,3.0,1,16,0,,42556
Адмиралтейский,муниципальный округ Сенной округ,3.0,1,17,0,,42557
Адмиралтейский,муниципальный округ Сенной округ,3.0,1,18,0,,42559
Адмиралтейский,муниципальный округ Сенной округ,4.0,1,19,0,,42562
Адмиралтейский,муниципальный округ Сенной округ,4.0,1,20,0,,42560
Адмиралтейский,муниципальный округ Сенной округ,4.0,1,21,0,,42561
Адмиралтейский,муниципальный округ Сенной округ,4.0,1,22,0,,42563
Адмиралтейский,муниципальный округ Адмиралтейский округ,5.0,1,23,0,,42547
Адмиралтейский,муниципальный округ Адмиралтейский округ,5.0,1,24,0,,42546
Адмиралтейский,муниципальный округ Адмиралтейский округ,5.0,1,25,0,,42545
Адмиралтейский,муниципальный округ Адмиралтейский округ,5.0,1,26,0,,42541
Адмиралтейский,муниципальный округ Адмиралтейский округ,5.0,1,27,0,,42540
Адмиралтейский,муниципальный округ Адмиралтейский округ,6.0,1,28,0,,42542
Адмиралтейский,муниципальный округ Адмиралтейский округ,6.0,1,29,0,,42543
Адмиралтейский,муниципальный округ Адмиралтейский округ,6.0,1,30,0,,27330
Адмиралтейский,муниципальный округ Адмиралтейский округ,6.0,1,31,0,,27332
Адмиралтейский,муниципальный округ Адмиралтейский округ,6.0,1,32,0,,27334
Адмиралтейский,муниципальный округ Семеновский,7.0,31,33,0,,42580
Адмиралтейский,муниципальный округ Семеновский,7.0,31,34,0,,42579
Адмиралтейский,муниципальный округ Семеновский,7.0,31,35,0,,42577
Адмиралтейский,муниципальный округ Семеновский,7.0,31,36,0,,42574
Адмиралтейский,муниципальный округ Семеновский,7.0,31,37,0,,42576
Адмиралтейский,муниципальный округ Семеновский,8.0,31,38,0,,42572
Адмиралтейский,муниципальный округ Семеновский,8.0,31,39,0,,42575
Адмиралтейский,муниципальный округ Семеновский,8.0,31,40,0,,42571
Адмиралтейский,муниципальный округ Семеновский,8.0,31,41,0,,42567
Адмиралтейский,муниципальный округ Семеновский,8.0,31,42,0,,42570
Адмиралтейский,муниципальный округ  Измайловское,9.0,31,43,0,,42587
Адмиралтейский,муниципальный округ  Измайловское,9.0,31,44,0,,42586
Адмиралтейский,муниципальный округ  Измайловское,9.0,31,45,0,,42584
Адмиралтейский,муниципальный округ  Измайловское,9.0,31,46,0,,42583
Адмиралтейский,муниципальный округ  Измайловское,9.0,31,47,0,,42588
Адмиралтейский,муниципальный округ  Измайловское,10.0,31,48,0,,42592
Адмиралтейский,муниципальный округ  Измайловское,10.0,31,49,0,,42589
Адмиралтейский,муниципальный округ  Измайловское,10.0,31,50,0,,42590
Адмиралтейский,муниципальный округ  Измайловское,10.0,31,51,0,,42582
Адмиралтейский,муниципальный округ  Измайловское,10.0,31,52,0,,42578
Адмиралтейский,муниципальный округ Екатерингофский,11.0,31,53,0,,27331
