Название набора данных,Ссылка на набор данных,Количество записей в наборе,Количество столбцов в наборе,Общее количество пустых значений в наборе,Количество пустых значений в каждом из столбцов,Мин/макс/ср количество пустых значений в строке
Информация о лечебно-профилактических учреждениях Санкт-Петербурга (Версия №10 от 15.03.2021),https://classif.gov.spb.ru/irsi/7808043833-info_health_service/structure_version/327/?page=1&per_page=10,266,10,279,0;0;0;0;5;0;0;0;8;266,1/3/1.05
"Реестр лицензий на осуществление фармацевтической деятельности, предоставленных Комитетом по здравоохранению (Версия №55 от 15.03.2021)",https://classif.gov.spb.ru/irsi/7808043833-licenses_pharmaceutics/structure_version/535/,2725,12,0,0;0;0;0;0;0;0,0/0/0
"Реестр специалистов в области ветеринарии, занимающихся предпринимательской деятельностью на территории Санкт-Петербурга (Версия №12 от 17.03.2021)",https://classif.gov.spb.ru/irsi/7815026412-reestr-specialistov-v-oblasti-veterinarii-zanimayushihsya-predprinimatelskoj-deyatelnostyu-na-territorii-sankt-peterburga/structure_version/236/,127,10,202,0;0;0;0;0;0;127;0;0;75,1/2/1.59
Реестр аккредитованных образовательных учреждений (Версия №10 от 19.03.2021),https://classif.gov.spb.ru/irsi/7830002053-Reestr-akkreditovannyh-obrazovatelnyh-uchrezhdenij/structure_version/567/?page=6&per_page=10,849,12,1094,0;0;0;0;0;0;0;0;243;849;1;1,1/4/1.29
Перечень дошкольных образовательных организаций в Санкт-Петербурге (Версия №10 от 26.04.2021),https://classif.gov.spb.ru/irsi/7830002078-Perechen-doshkolnyh-obrazovatelnyh-organizacij-v-spb/structure_version/478/?page=21&per_page=50,1089,13,1689,0;0;0;0;1;4;320;70;34;60;61;66;1073,1/7/1.57
Реестр государственных функций Санкт-Петербурга (Версия №6 от 02.03.2021),https://classif.gov.spb.ru/irsi/7825457753-government_functions/structure_version/559/?page=9&per_page=10,1867,9,3681,0;0;3;0;0;0;1840;0;1838,1/3/2.0
Реестр государственных услуг Санкт-Петербурга (Версия №5 от 19.03.2021),https://classif.gov.spb.ru/irsi/7825457753-government_services/structure_version/557/?page=1&per_page=50,426,11,78,0;24;27;0;0;0;0;0;6;8;13,1/3/1.77
Адреса приемных граждан депутатов Законодательного Собрания Санкт-Петербурга (Версия №1 от 02.03.2021),https://classif.gov.spb.ru/irsi/7830002078-Adresa-priemnyh-grazhdan-deputatov-Zakonodatelnogo-Sobraniya-Sankt-Peterburga/structure_version/304/,83,8,212,0;0;0;72;3;56;66;15,1/4/2.62
Избирательные округа Санкт-Петербурга (Версия №10 от 02.03.2021),https://classif.gov.spb.ru/irsi/7832000076-Izbiratelnye-okruga-Sankt-Peterburga/structure_version/525/?page=9&per_page=10,1942,8,1861,0;0;0;0;0;0;1861;0,1/1/1.0
Сведения о судебных участках мировых судей Санкт-Петербурга (Версия №1 от 18.03.2021),https://classif.gov.spb.ru/irsi/7842005651-svedeniya-o-sudebnyh-uchastkah-mirovyh-sudej-sankt-peterburga/structure_version/438/,211,25,1666,0;0;186;0;211;0;0;0;3;211;211;211;0;0;0;0;0;0;0;0;0;0;211;211;211,7/9/7.9
"Границы территорий, по которым утверждены проекты планировок (Версия №10 от 18.03.2021)",https://classif.gov.spb.ru/irsi/7830000994-granicy-territorij-po-kotorym-utverzhdeny-proekty-planirovok/structure_version/571/?page=16&per_page=50,761,7,2,0;0;2;0;0;0;0,1/1/1.0
Гостиницы (Версия №9 от 02.03.2021),https://classif.gov.spb.ru/irsi/7842489089-gostinicy/structure_version/153/?page=5&per_page=10,943,14,60,0;0;2;2;3;0;21;0;24;2;1;0;2;3,1/6/1.2
Достопримечательности (Версия №10 от 02.03.2021),https://classif.gov.spb.ru/irsi/7842489089-dostoprimechatelnosti/structure_version/157/,694,18,5232,0;0;0;511;5;497;2;476;500;525;172;420;325;497;669;228;405;0,2/12/7.54
Музеи (Версия №9 от 02.03.2021),https://classif.gov.spb.ru/irsi/7842489089-muzei/structure_version/569/,248,17,199,0;0;24;2;0;1;5;0;2;12;18;39;9;0;2;43;42,1/7/3.06
Рестораны (Версия №9 от 02.03.2021),https://classif.gov.spb.ru/irsi/7842489089-restorany/structure_version/570/,624,10,972,0;0;128;0;18;84;308;434;0;0,1/5/2.16
Театры (Версия №9 от 02.03.2021),https://classif.gov.spb.ru/irsi/7842489089-teatry/structure_version/649/?page=8&per_page=10,109,12,26,0;0;0;0;0;0;1;1;0;12;12;0,1/2/1.86
Перечень государственных учреждений физической культуры и спорта в Санкт-Петербурге (Версия №9 от 16.03.2021),https://classif.gov.spb.ru/irsi/7803050795-perechen-gosudarstvennyh-uchrezhdenij-fizicheskoj-kultury-i-sporta-v-Sankt-Peterburge/structure_version/425/?page=2&per_page=10,26,13,0,0;0;0;0;0;0;0,0/0/0
Внутридворовые спортивные площадки Санкт-Петербурга (Версия №8 от 24.06.2022),https://classif.gov.spb.ru/irsi/7814348015-Vnutridvorovye-sportivnye-ploshadki-SPb/structure_version/591/,703,18,689,0;0;0;0;121;0;1;0;3;4;0;12;3;0;0;0;0;545,1/4/1.26
Катки и лыжные трассы Санкт-Петербурга (Версия №25 от 08.12.2022),https://classif.gov.spb.ru/irsi/7814348015-Katki-i-lyzhnye-trassy-SPbtwo/structure_version/618/,300,24,368,0;0;0;0;0;131;1;0;0;7;17;0;0;0;0;2;7;0;0;0;0;0;203;0,1/5/1.53
План проведения государственной экологической экспертизы объектов регионального уровня в Санкт-Петербурге (Версия №10 от 02.03.2021),https://classif.gov.spb.ru/irsi/7815015523-plan_expertize/structure_version/352/,121,6,118,0;0;0;0;118;0,1/1/1.0
