№,Положение об исполнительном органе государственной власти Санкт-Петербурга,№ пункта в положении об ИОГВ,Наименование исполнительного органа государственной власти Санкт-Петербурга,Наименование полномочия в соответствии с Положением об исполнительном органе государственной власти Санкт-Петербурга,Наименование государственной функции,Реестровый номер,Тип,Распоряжение исполнительного органа государственной власти Санкт-Петербурга об утверждении административного регламента
1,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",4.3.,Администрации районов Санкт-Петербурга,"Участвует в разработке проектов договоров и соглашений, заключаемых от имени Санкт-Петербурга, Правительства Санкт-Петербурга, по вопросам, находящимся в компетенции Администрации, обеспечивает выполнение обязательств Санкт-Петербурга, Правительства Санкт-Петербурга по данным договорам и соглашениям","Участвует в разработке проектов договоров и соглашений, заключаемых от имени Санкт-Петербурга, Правительства Санкт-Петербурга, по вопросам, находящимся в компетенции Администрации, обеспечивает выполнение обязательств Санкт-Петербурга, Правительства Санкт-Петербурга по данным договорам и соглашениям",-,Функция,-
2,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.3.8.,Администрации районов Санкт-Петербурга,Участвовать в соответствии с правовыми актами Правительства Санкт-Петербурга в осуществлении мероприятий антитеррористической направленности,Участвовать в соответствии с правовыми актами Правительства Санкт-Петербурга в осуществлении мероприятий антитеррористической направленности,-,Функция,-
3,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.3.7.,Администрации районов Санкт-Петербурга,"Участвовать в соответствии с правовыми актами Правительства Санкт-Петербурга в выполнении требований Правил охраны жизни людей на водных объектах в Санкт-Петербурге, утвержденных постановлением Правительства Санкт-Петербурга от 05.06.2008 № 657","Участвовать в соответствии с правовыми актами Правительства Санкт-Петербурга в выполнении требований Правил охраны жизни людей на водных объектах в Санкт-Петербурге, утвержденных постановлением Правительства Санкт-Петербурга от 05.06.2008 № 657",-,Функция,-
4,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.35.,Администрации районов Санкт-Петербурга,"Участвовать в реализации мероприятий по приспособлению жилых помещений, входящих в состав жилищного фонда Санкт-Петербурга и частного жилищного фонда, занимаемых инвалидами и семьями, имеющими детей-инвалидов, и используемых для их постоянного проживания, а также общего имущества в многоквартирных домах, в которых расположены указанные жилые помещения, с учетом потребностей инвалидов и обеспечения условий их доступности для инвалидов в соответствии с планом мероприятий по приспособлению жилых помещений инвалидов и общего имущества в многоквартирных домах, в которых проживают инвалиды, с учетом потребностей инвалидов и обеспечения условий их доступности для инвалидов, утвержденным Правительством Санкт-Петербурга","Участвовать в реализации мероприятий по приспособлению жилых помещений, входящих в состав жилищного фонда Санкт-Петербурга и частного жилищного фонда, занимаемых инвалидами и семьями, имеющими детей-инвалидов, и используемых для их постоянного проживания, а также общего имущества в многоквартирных домах, в которых расположены указанные жилые помещения, с учетом потребностей инвалидов и обеспечения условий их доступности для инвалидов в соответствии с планом мероприятий по приспособлению жилых помещений инвалидов и общего имущества в многоквартирных домах, в которых проживают инвалиды, с учетом потребностей инвалидов и обеспечения условий их доступности для инвалидов, утвержденным Правительством Санкт-Петербурга",-,Функция,-
5,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.1.12.,Администрации районов Санкт-Петербурга,"Участвовать в осуществлении в соответствии с нормативными правовыми актами Губернатора Санкт-Петербурга либо исполнительного органа государственной власти Санкт-Петербурга, осуществляющего государственное управление в сфере ветеринарии, предусмотренных действующим законодательством специальных мероприятий по предупреждению распространения и ликвидации очагов заразных и массовых незаразных болезней животных.",Участвовать в осуществлении в соответствии с правовыми актами Правительства Санкт-Петербурга предусмотренных действующим законодательством специальных мероприятий по предупреждению распространения и ликвидации очагов заразных и массовых незаразных болезней животных,-,Функция,-
6,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.3.6.,Администрации районов Санкт-Петербурга,"Утверждать перечень должностных лиц, уполномоченных составлять протоколы об административных правонарушениях, предусмотренных в статье 9.13 Кодекса Российской Федерации об административных правонарушениях; составлять протоколы об административных правонарушениях, предусмотренных в статье 9.13 Кодекса Российской Федерации об административных правонарушениях","Утверждать перечень должностных лиц, уполномоченных составлять протоколы об административных правонарушениях, предусмотренных в статье 9.13 Кодекса Российской Федерации об административных правонарушениях",-,Функция,-
7,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.3.6.,Администрации районов Санкт-Петербурга,"Утверждать перечень должностных лиц, уполномоченных составлять протоколы об административных правонарушениях, предусмотренных в статье 9.13 Кодекса Российской Федерации об административных правонарушениях; составлять протоколы об административных правонарушениях, предусмотренных в статье 9.13 Кодекса Российской Федерации об административных правонарушениях","Составлять протоколы об административных правонарушениях, предусмотренных в статье 9.13 Кодекса Российской Федерации об административных правонарушениях",-,Функция,-
8,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.3.5.,Администрации районов Санкт-Петербурга,"Утверждать в случаях, установленных законодательством, перечень должностных лиц, уполномоченных составлять протоколы об административных правонарушениях.","Утверждать в случаях, установленных законодательством, перечень должностных лиц, уполномоченных составлять протоколы об административных правонарушениях, составлять протоколы и рассматривать дела об административных правонарушениях, предусмотренных законами Санкт-Петербурга",-,Функция,-
9,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.34.,Администрации районов Санкт-Петербурга,Устанавливать максимальный размер дохода гражданина и постоянно проживающих совместно с ним членов его семьи и стоимость подлежащего налогообложению их имущества в целях признания их нуждающимися в предоставлении жилых помещений по договорам найма жилых помещений жилищного фонда социального использования,Устанавливать максимальный размер дохода гражданина и постоянно проживающих совместно с ним членов его семьи и стоимость подлежащего налогообложению их имущества в целях признания их нуждающимися в предоставлении жилых помещений по договорам найма жилых помещений жилищного фонда социального использования,-,Функция,-
10,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.3.5-1.,Администрации районов Санкт-Петербурга,"Составлять протоколы об административных правонарушениях, предусмотренных статьей 44-2 Закона Санкт-Петербурга от 12.05.2010 № 273-70 «Об административных правонарушениях в Санкт-Петербурге», в отношении организаторов универсальных и специализированных ярмарок - индивидуальных предпринимателей и юридических лиц, операторов ярмарок - индивидуальных предпринимателей и юридических лиц, ответственных за организацию ярмарок выходного дня (региональных ярмарок) на основании договора на право выполнения функций организатора ярмарки выходного дня (региональной ярмарки), заключенного с уполномоченным Правительством Санкт-Петербурга на организацию ярмарок выходного дня (региональных ярмарок) исполнительным органом государственной власти Санкт-Петербурга или подведомственным такому исполнительному органу государственной власти Санкт-Петербурга государственным учреждением Санкт-Петербурга по результатам конкурса, проводимого в порядке, установленном Правительством Санкт-Петербурга, а также, должностных лиц исполнительных органов государственной власти Санкт-Петербурга и государственных учреждений Санкт-Петербурга – организаторов ярмарок выходного дня (региональных ярмарок), за исключением должностных лиц Администрации и ГУ, составлять иные протоколы и рассматривать дела об административных правонарушениях, предусмотренных законами Санкт-Петербурга","Составлять протоколы об административных правонарушениях, предусмотренных статьей 44-2 Закона Санкт-Петербурга от 12.05.2010 № 273-70 «Об административных правонарушениях в Санкт-Петербурге», в отношении организаторов универсальных и специализированных ярмарок - индивидуальных предпринимателей и юридических лиц, операторов ярмарок - индивидуальных предпринимателей и юридических лиц, ответственных за организацию ярмарок выходного дня (региональных ярмарок) на основании договора на право выполнения функций организатора ярмарки выходного дня (региональной ярмарки), заключенного с уполномоченным Правительством Санкт-Петербурга на организацию ярмарок выходного дня (региональных ярмарок) исполнительным органом государственной власти Санкт-Петербурга или подведомственным такому исполнительному органу государственной власти Санкт-Петербурга государственным учреждением Санкт-Петербурга по результатам конкурса, проводимого в порядке, установленном Правительством Санкт-Петербурга, а также, должностных лиц исполнительных органов государственной власти Санкт-Петербурга и государственных учреждений Санкт-Петербурга – организаторов ярмарок выходного дня (региональных ярмарок), за исключением должностных лиц Администрации и ГУ, составлять иные протоколы и рассматривать дела об административных правонарушениях, предусмотренных законами Санкт-Петербурга",-,Функция,-
11,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.10.,Администрации районов Санкт-Петербурга,"Составлять акт проверки наличия приобретенного для ребенка-инвалида товара, содержащего сведения о владельце государственного сертификата на материнский (семейный) капитал, наименование приобретенного товара и информацию и наличии приобретенного товара, с указанием информации о соответствии (несоответствии) индивидуальной программе реабилитации или абилитации ребенка-инвалида, действительной на день приобретения товара, и перечню товаров и услуг, предназначенных для социальной адаптации и интеграции в общество детей-инвалидов","Составлять акт проверки наличия приобретенного для ребенка-инвалида товара, содержащего сведения о владельце государственного сертификата на материнский (семейный) капитал, наименование приобретенного товара и информацию и наличии приобретенного товара, с указанием информации о соответствии (несоответствии) индивидуальной программе реабилитации или абилитации ребенка-инвалида, действительной на день приобретения товара, и перечню товаров и услуг, предназначенных для социальной адаптации и интеграции в общество детей-инвалидов",-,Функция,-
12,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.13.11.,Администрации районов Санкт-Петербурга,"Созывать общее собрание собственников помещений в многоквартирном доме для решения вопроса о выборе способа формирования фонда капитального ремонта не позднее чем за месяц до окончания срока принятия и реализации собственниками помещений в многоквартирном доме решения об определении способа формирования фонда капитального ремонта в случае, если собственники помещений в таком многоквартирном доме ранее не приняли решение об определении способа формирования фонда капитального ремонта","Созывать общее собрание собственников помещений в многоквартирном доме для решения вопроса о выборе способа формирования фонда капитального ремонта не позднее чем за месяц до окончания срока принятия и реализации собственниками помещений в многоквартирном доме решения об определении способа формирования фонда капитального ремонта в случае, если собственники помещений в таком многоквартирном доме ранее не приняли решение об определении способа формирования фонда капитального ремонта",-,Функция,-
13,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.3.2.,Администрации районов Санкт-Петербурга,"Создавать учебные пункты, обеспечивать их деятельность и в соответствии с правовыми актами Правительства Санкт-Петербурга организовывать в них подготовку по основам военной службы граждан, достигших 16-летнего возраста, не обучающихся в образовательных учреждениях и не работающих в организациях","Создавать учебные пункты, обеспечивать их деятельность и в соответствии с правовыми актами Правительства Санкт-Петербурга организовывать в них подготовку по основам военной службы граждан, достигших 16-летнего возраста, не обучающихся в образовательных учреждениях и не работающих в организациях",-,Функция,-
14,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.18.5.,Администрации районов Санкт-Петербурга,"Создавать условия для осуществления присмотра и ухода за детьми, содержания детей в образовательных ГУ","Создавать условия для осуществления присмотра и ухода за детьми, содержания детей в образовательных ГУ",-,Функция,-
15,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.6.1.,Администрации районов Санкт-Петербурга,Создавать условия для организации досуга жителей Санкт-Петербурга и обеспечения их услугами организаций культуры в соответствии с действующим законодательством и правовыми актами Правительства Санкт-Петербурга,Создавать условия для организации досуга жителей Санкт-Петербурга и обеспечения их услугами организаций культуры в соответствии с действующим законодательством и правовыми актами Правительства Санкт-Петербурга,-,Функция,-
16,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.3.4.,Администрации районов Санкт-Петербурга,"Создавать и организовывать деятельность эвакуационных органов, организовывать подготовку их личного состава","Создавать и организовывать деятельность эвакуационных органов, организовывать подготовку их личного состава",-,Функция,-
17,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.2.2.,Администрации районов Санкт-Петербурга,"Согласовывать в соответствии с правовыми актами Правительства Санкт-Петербурга муниципальные программы, софинансирование которых осуществляется из бюджета Санкт-Петербурга","Согласовывать в соответствии с правовыми актами Правительства Санкт-Петербурга муниципальные программы, софинансирование которых осуществляется из бюджета Санкт-Петербурга",-,Функция,-
18,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.13.12.,Администрации районов Санкт-Петербурга,"Согласовывать акт приемки оказанных услуг и(или) выполненных работ, являющийся основанием для перечисления региональным оператором средств по договору на оказание услуг и(или) выполнение работ по капитальному ремонту общего имущества в многоквартирном доме","Согласовывать акт приемки оказанных услуг и (или) выполненных работ по капитальному ремонту общего имущества в многоквартирном доме, являющегося основанием для перечисления специализированной некоммерческой организацией, которая осуществляет деятельность, направленную на обеспечение проведения капитального ремонта общего имущества в многоквартирных домах, средств по договору на оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества в многоквартирном доме.",-,Функция,-
19,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.8.3.,Администрации районов Санкт-Петербурга,Совместно с уполномоченным исполнительным органом государственной власти Санкт-Петербурга осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга меры по организации занятости несовершеннолетних и молодежи,Совместно с уполномоченным исполнительным органом государственной власти Санкт-Петербурга осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга меры по организации занятости несовершеннолетних и молодежи,-,Функция,-
20,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.14.4.,Администрации районов Санкт-Петербурга,"Совершать юридические действия, связанные с переходом выморочного имущества в государственную собственность Санкт-Петербурга","Совершать юридические действия, связанные с переходом выморочного имущества в государственную собственность Санкт-Петербурга",-,Функция,-
21,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.4.1.,Администрации районов Санкт-Петербурга,Реализовывать молодёжную политику на территории района.,Реализовывать молодёжную политику на территории района.,-,Функция,-
22,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.3.15.,Администрации районов Санкт-Петербурга,"Разрабатывать, утверждать и реализовывать районные программы, направленные на осуществление мероприятий в сфере профилактики незаконного потребления наркотических средств и психотропных веществ, новых потенциально опасных психоактивных веществ, наркомании","Разрабатывать, утверждать и реализовывать районные программы, направленные на осуществление мероприятий в сфере профилактики незаконного потребления наркотических средств и психотропных веществ, новых потенциально опасных психоактивных веществ, наркомании",-,Функция,-
