№,Положение об исполнительном органе государственной власти Санкт-Петербурга,№ пункта в положении об ИОГВ,Наименование исполнительного органа государственной власти Санкт-Петербурга,Наименование полномочия в соответствии с Положением об исполнительном органе государственной власти Санкт-Петербурга,Наименование государственной услуги в соответствии с административным регламентом,Реестровый номер,Тип,Способы предоставления услуги,"Ссылка на Портале ""Государственные и муниципальные услуги в Санкт-Петербурге""","Распоряжение исполнительного органа государственной власти Санкт-Петербурга, которым утвержден административный регламент"
1,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.1.,Администрации районов Санкт-Петербурга,Осуществлять в установленном порядке учет граждан в качестве нуждающихся в жилых помещениях,"Вести учет граждан в качестве нуждающихся в жилых помещениях и учета граждан, нуждающихся в содействии Санкт-Петербурга в улучшении жилищных условий",7800000010000001200,Услуга,В ИОГВ (ГУ); через РПГУ; через МФЦ,Https://gu.spb.ru/188505/,"Распоряжение Жилищного комитета от 28.04.2017 № 536-р ""Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по ведению учета граждан в качестве нуждающихся в жилых помещениях и учета граждан, нуждающихся в содействии Санкт-Петербурга в улучшении жилищных условий"""
2,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.11.,Администрации районов Санкт-Петербурга,"Предоставлять жилые помещения маневренного фонда специализированного жилищного фонда Санкт-Петербурга гражданам в связи с капитальным ремонтом или реконструкцией дома, в котором находятся жилые помещения, занимаемые ими по договорам социального найма; гражданам, у которых единственные жилые помещения стали непригодными для проживания в результате чрезвычайных обстоятельств; гражданам, у которых единственные жилые помещения признаны непригодными для проживания по причине аварийного состояния либо вредного воздействия факторов среды обитания, представляющего особую опасность для жизни и здоровья людей","Предоставлять жилые помещения маневренного фонда специализированного жилищного фонда Санкт-Петербурга (далее - жилые помещения маневренного фонда) гражданам в связи с капитальным ремонтом или реконструкцией дома, в котором находятся жилые помещения, занимаемые ими по договорам социального найма; гражданам, у которых единственные жилые помещения стали непригодными для проживания в результате чрезвычайных обстоятельств; гражданам, у которых единственные жилые помещения признаны непригодными для проживания по причине аварийного состояния либо вредного воздействия факторов среды обитания, представляющего особую опасность для жизни и здоровья людей",7800000010000091203,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188533/,"Распоряжение Жилищного комитета от 30.06.2021 №609-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по принятию решений о предоставлении жилых помещений маневренного фонда специализированного жилищного фонда Санкт-Петербурга гражданам в связи с капитальным ремонтом или реконструкцией дома, в котором находятся жилые помещения, занимаемые ими по договорам социального найма; гражданам, у которых единственные жилые помещения стали непригодными для проживания в результате чрезвычайных обстоятельств; гражданам, у которых единственные жилые помещения признаны непригодными для проживания по причине аварийного состояния либо вредного воздействия факторов среды обитания, представляющего особую опасность для жизни и здоровья людей»"
3,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.12.,Администрации районов Санкт-Петербурга,"На основании заключений районных межведомственных комиссий принимать решения о признании помещения жилым помещением, жилого помещения пригодным (непригодным) для проживания граждан с указанием его дальнейшего использования, за исключением случаев, когда принятие указанных решений отнесено к компетенции федеральных органов исполнительной власти","Принимать на основании заключений районных межведомственных комиссий решения о признании помещения жилым помещением, жилого помещения пригодным (непригодным) для проживания граждан с указанием его дальнейшего использования, за исключением случаев, когда принятие указанных решений отнесено к компетенции федеральных органов исполнительной власти",7800000010000023737,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188675/,"Распоряжение Жилищного комитета от 12.08.2021 №734-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по осуществлению принятия на основании заключений районных межведомственных комиссий решения о признании помещения жилым помещением, жилого помещения пригодным (непригодным) для проживания граждан с указанием его дальнейшего использования, за исключением случаев, когда принятие указанных решений отнесено к компетенции федеральных органов исполнительной власти»"
4,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.13.,Администрации районов Санкт-Петербурга,"Заключать от имени Санкт-Петербурга в соответствии с гражданским и жилищным законодательством с гражданами, юридическими лицами соглашения в отношении жилых помещений, находящихся в общей собственности Санкт-Петербурга и граждан, юридических лиц, в целях определения размера и изменения долей в праве общей собственности, а также определения порядка использования указанных помещений","Заключать от имени Санкт-Петербурга в соответствии с гражданским и жилищным законодательством с гражданами, юридическими лицами соглашения в отношении жилых помещений, находящихся в общей собственности Санкт-Петербурга и граждан, юридических лиц, в целях определения размера и изменения долей в праве общей собственности, а также определения порядка использования указанных помещений",7800000010000091700,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188517/,"Распоряжение Жилищного комитета от 30.09.2021 №901-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по заключению от имени Санкт-Петербурга в соответствии с гражданским и жилищным законодательством с гражданами, юридическими лицами соглашения в отношении жилых помещений, находящихся в общей собственности Санкт-Петербурга и граждан, юридических лиц, в целях определения размера и изменения долей в праве общей собственности, а также определения порядка использования указанных помещений»"
5,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.16.,Администрации районов Санкт-Петербурга,"Принимать решения о предоставлении жилых помещений жилищного фонда коммерческого использования Санкт-Петербурга по договорам найма гражданам, за исключением жилых помещений жилищного фонда коммерческого использования Санкт-Петербурга в многоквартирных домах, построенных (реконструированных) за счет средств бюджета Санкт-Петербурга, жилых помещений, приобретенных в государственную собственность Санкт-Петербурга за счет средств бюджета Санкт-Петербурга, и жилых помещений, переданных в государственную собственность Санкт-Петербурга инвесторами по инвестиционным договорам",Принимать решения о предоставлении освободившихся жилых помещений жилищного фонда коммерческого использования Санкт-Петербурга в коммунальных квартирах по договорам найма гражданам,7800000010000007345,Услуга,В ИОГВ (ГУ); через РПГУ; через МФЦ,Https://gu.spb.ru/188485/,Распоряжение Жилищного комитета от 06.04.2022 №249-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по принятию решений о предоставлении освободившихся жилых помещений жилищного фонда коммерческого использования Санкт-Петербурга в коммунальных квартирах по договорам найма гражданам»
6,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.17.,Администрации районов Санкт-Петербурга,"Предоставлять по согласованию с Жилищным комитетом жилые помещения жилищного фонда коммерческого использования Санкт-Петербурга по договорам аренды юридическим лицам в целях использования для проживания работников в связи с характером их трудовых отношений, за исключением жилых помещений, которые предоставляются юридическим лицам в целях проживания работников жилищно-коммунальной сферы и иных отраслей городского хозяйства (организаций любой организационно-правовой формы, к видам деятельности которых согласно учредительным документам относится выполнение работ и(или) оказание услуг в сфере жилищно-коммунального хозяйства Санкт-Петербурга, благоустройства Санкт-Петербурга, капитального строительства, развития дорожно-мостового комплекса, транспорта, промышленности, топливно-энергетического комплекса, почтовой связи, торговли, полиграфии, медицинского обслуживания, обеспечения лекарственными средствами и изделиями медицинского назначения, культуры, науки, физической культуры и спорта, а также образовательным организациям высшего образования (любой организационно-правовой формы) для проживания обучающихся в них в рамках программы мероприятий по капитальному ремонту и реконструкции многоквартирных домов, все помещения в которых находятся в собственности Санкт-Петербурга, и предоставлению жилых помещений юридическим лицам для проживания работников жилищно-коммунальной сферы и иных отраслей городского хозяйства, а также образовательным организациям высшего образования для проживания обучающихся в них","По согласованию с Жилищным комитетом принимать решения о предоставлении жилых помещений коммерческого использования по договорам аренды юридическим лицам в целях использования для проживания работников в связи с характером их трудовых отношений, за исключением жилых помещений, которые предоставляются юридическим лицам в целях проживания работников жилищно-коммунальной сферы и иных отраслей городского хозяйства (организаций любой организационно-правовой формы, к видами деятельности которых согласно учредительным документам относится выполнение работ и (или) оказание услуг в сфере жилищно-коммунального хозяйства Санкт-Петербурга, благоустройства Санкт-Петербурга, капитального строительства, развития дорожно-мостового комплекса, транспорта, промышленности, топливно-энергетического комплекса, почтовой связи, торговли, полиграфии, медицинского обслуживания, обеспечения лекарственными средствами и изделиями медицинского назначения, культуры, науки, физической культуры и спорта), а также образовательным организациям высшего образования (любой организационно-правовой формы) для проживания обучающихся в них в рамках программы мероприятий по капитальному ремонту и реконструкции многоквартирных домов, все помещения в которых находятся в собственности Санкт-Петербурга, и предоставлению жилых помещений юридическим лицам для проживания работников жилищно-коммунальной сферы и иных отраслей городского хозяйства, а также образовательным организациям высшего образования для проживания обучающихся в них",7800000010000090750,Услуга,В ИОГВ (ГУ); через РПГУ; через МФЦ,Https://gu.spb.ru/188501/,"Распоряжение Жилищного комитета от 30.12.2010 № 546-р ""Об утверждении административных регламентов предоставления государственных услуг"""
7,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.18.,Администрации районов Санкт-Петербурга,"Принимать решение о предоставлении или об отказе в предоставлении гражданам, указанным в абзаце первом части 2-1 статьи 15 и абзаце третьем части 3-1 статьи 24 Федерального закона ""О статусе военнослужащих"" и статье 2 Федерального закона ""О внесении изменений в Федеральный закон ""О статусе военнослужащих"" и об обеспечении жилыми помещениями некоторых категорий граждан"", принятым в Санкт-Петербурге на учет в качестве нуждающихся в жилых помещениях до 01.01.2005, жилых помещений государственного жилищного фонда Санкт-Петербурга, построенных и(или) приобретенных за счет субвенций из федерального бюджета, по договору социального найма","Принимать решения о предоставлении или об отказе в предоставлении гражданам, указанным в абзаце первом пункта 2_1 статьи 15 и абзаце третьем пункта 3_1 статьи 24 Федерального закона ""О статусе военнослужащих"" и статье 2 Федерального закона ""О внесении изменений в Федеральный закон ""О статусе военнослужащих"" и об обеспечении жилыми помещениями граждан"", принятым в Санкт-Петербурге на учет в качестве нуждающихся в жилых помещениях до 01.01.2005, жилых помещений государственного жилищного фонда Санкт-Петербурга, построенных и (или) приобретенных за счет субвенций из федерального бюджета, по договорам социального найма",7800000010000055042,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/187983/,"Распоряжение Жилищного комитета от 14.04.2015 № 283-р ""Об утверждении административного регламента предоставления государственной услуги"""
8,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.21.,Администрации районов Санкт-Петербурга,"Предоставлять жилые помещения специализированного жилищного фонда Санкт-Петербурга, относящиеся к жилым помещениям для социальной защиты отдельных категорий граждан, по договорам безвозмездного пользования","Предоставлять жилые помещения специализированного жилищного фонда Санкт-Петербурга, относящиеся к жилым помещениям для социальной защиты отдельных категорий граждан, по договорам безвозмездного пользования",7800000010000076103,Услуга,В ИОГВ (ГУ); через РПГУ; через МФЦ,Https://gu.spb.ru/188525/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 23.08.2022 №2339-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по предоставлению жилых помещений специализированного жилищного фонда Санкт-Петербурга, относящихся к жилым помещениям для социальной защиты отдельных категорий граждан, по договорам безвозмездного пользования»"
9,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.23.,Администрации районов Санкт-Петербурга,"Принимать решения о включении (об отказе во включении) граждан, имеющих право быть принятыми в члены жилищно-строительного кооператива, создаваемого в целях обеспечения жилыми помещениями граждан в соответствии с Федеральным законом ""О содействии развитию жилищного строительства» и Федеральным законом ""О введении в действие Земельного кодекса Российской Федерации« из числа работников организаций, указанных в части 6.6 статьи 11 Федерального закона ""О содействии развитию жилищного строительства"", а также граждан, имеющих трех и более детей, в списки граждан, проживающих на территории района, имеющих право быть принятыми в члены такого кооператива","Принимать решения о включении (об отказе во включении) граждан, имеющих право быть принятыми в члены жилищно-строительного кооператива, создаваемого в целях обеспечения жилыми помещениями граждан в соответствии с Федеральным законом ""О содействии развитию жилищного строительства"" и Федеральным законом ""О введении в действие Земельного кодекса Российской Федерации"" из числа работников организаций, указанных в части 6.6 статьи 11 Федерального закона ""О содействии развитию жилищного строительства"", а также граждан, имеющих трех и более детей, в списки граждан, проживающих на территории района, имеющих право быть принятыми в члены такого кооператива",7800000010000051490,Услуга,В ИОГВ (ГУ),Https://gu.spb.ru/188499/,"Распоряжение Жилищного комитета от 09.08.2021 №716-р ""Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по принятию решений о включении (об отказе во включении) граждан, имеющих право быть принятыми в члены жилищно-строительного кооператива, создаваемого в целях обеспечения жилыми помещениями граждан в соответствии с Федеральным законом ""О содействии развитию жилищного строительства"" и Федеральным законом ""О введении в действие Земельного кодекса Российской Федерации« из числа работников организаций, указанных в части 6.6 статьи 11 Федерального закона ""О содействии развитию жилищного строительства, а также граждан, имеющих трех и более детей, в списки граждан, проживающих на территории района, имеющих право быть принятыми в члены такого кооператива"""
10,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.12.26.,Администрации районов Санкт-Петербурга,"Формировать список детей-сирот, лиц, указанных в пункте 9 статьи 8 Федерального закона ""О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, которые подлежат обеспечению жилыми помещениями для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, специализированного жилищного фонда Санкт-Петербурга","Формировать список детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, лиц, указанных в пункте 9 статьи 8 Федерального закона «О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей», которые подлежат обеспечению жилыми помещениями для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, специализированного жилищного фонда Санкт-Петербурга",7800000010000033929,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188495/,"Распоряжение Жилищного комитет от 26.05.2020 №510-р ""Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по формированию списка детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, лиц, указанных в пункте 9 статьи 8 Федерального закона ""О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей«, которые подлежат обеспечению жилыми помещениями для детей-сирот и детей, оставшихся без попечения родителей, лиц из числа детей-сирот и детей, оставшихся без попечения родителей, специализированного жилищного фонда Санкт-Петербурга"""
