Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,"Площадь, га",Идентификатор
4 этап (утверждение документации ППТ),"Территория квартала 9 Западнее Варшавской ЖД, ограниченного Краснопутиловской ул., пл. Конституции, Ленинским пр., Кубинской ул.",Московский,998,2011-07-13,"19,7",B14B06BA-7430-46A5-BD00-00835DB53F50
4 этап (утверждение документации ППТ),"Территория, ограниченная Тульской ул., ул. Красного Текстильщика, проектным проездом от ул. Красного Текстильщика до новгородской ул., и Новгородской ул.",Центральный,731,2008-06-17,"7,8",6E78E09C-88D3-473A-A109-009A183F0122
4 этап (утверждение документации ППТ),"Территория, ограниченная Ириновским пр., Бокситогорской ул., Объездным шоссе, границей территориальной зоны ТД1-2_2, береговой линией р. Охты в Красногвардейском районе",Красногвардейский,974,2021-12-13,"10,3",38D06130-33BD-4BBD-B47C-00D7B7092094
4 этап (утверждение документации ППТ),"Территория квартала 54 Северо-Приморской части, ограниченной Богатырским пр., Елагинским пр., Ситцевой ул., Яхтенной ул., в Приморском районе, утвержденный постановлением Правительства Санкт-Петербурга от 15.04.2010 № 375, в части территории, ограниченной Елагинским пр., Богатырским пр., Яхтенной ул., внутриквартальным проездом",Приморский,316,2019-05-21,"13,5",E9DC37DA-3999-40BA-82AA-00EECB245228
4 этап (утверждение документации ППТ),"Территория, ограниченная Приморским шоссе, ул.Володарского, ул.Пограничников, набережной р.Сестры, продолжением ул.Борисова, береговой линией р.Малой Сестры, полосой отвода железной дороги",Курортный,214,2015-02-24,"34,6",B810D801-E0C8-4E43-8DA4-0166433DECA6
4 этап (утверждение документации ППТ),"Изменения в ППиПМ территории по адресу: Терр. Квартала 12А района восточнее Витебской железной дороги, ограниченной ул.Белы Куна, Бухарестской ул. И ул.Турку, утвержденный постановлением Правительства Санкт-Петербурга от 11.12.2007 № 1613",Фрунзенский,832,2019-11-29,"8,9",23D27BBC-3524-4E33-9985-023098C33133
4 этап (утверждение документации ППТ),"Территория квартала 1-5 Сосновой Поляны, ограниченной ул. Чекистов, ул. Пограничника Гарькавого, пр. Ветеранов, ул. Летчика Пилютова в Красносельском районе",Красносельский,742,2012-07-23,40,C15CF91C-78EA-4DF1-86AD-02E65FCF9BB3
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Мостовой переход через р. Черная речка в створе Сердобольской улицы с подключением к набережной Черной речки и Ушаковской набережной»,Приморский,998,2018-12-25,4,9F8DFF0C-CDDA-400B-A4B3-036AD78F1839
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Лапинский пр. От продолжения ул.Коммуны до Индустриального пр»,Красногвардейский,807,2022-09-01,"1,4",8BB49E9A-5D73-4598-AD2E-038DBA00AAF3
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Адмирала Грейга, проектируемой улицей № 1, проектируемой улицей №2, ул. Зосимова, ул. Мартынова, проектируемой транспортно-пешеходной набережной в г. Кронштадте",Кронштадтский,76,2021-02-25,"107,9",EF6AFAE3-44A9-4929-AE90-04FCF879A10F
4 этап (утверждение документации ППТ),"Территория, ограниченная Нижне-Камской ул., продолжением Глухарской ул., границей базисного квартала 4286А",Приморский,1755,2010-12-21,7,C76EF4E2-9783-4C9D-BBFA-056D668809FE
4 этап (утверждение документации ППТ),"Квартал 10А нежилой зоны «Парнас», ограниченный транспортной развязкой на пересечении автодорожного обхода Санкт-Петербурга с Приозерским шоссе, пр. Энгельса, пробивкой 9-го Верхнего пер.. Административной границей между двумя субъектами Рос",Выборгский,1166,2012-10-30,"13,4",241EE180-6CBF-4097-8B70-0572D8A22072
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Руставели, Токсовской ул., Муринским ручьем, ж/д Приозерского направления",Калининский,801,2006-06-27,"77,6",502B4EC1-9AC4-49B3-A192-05ABF75411BF
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Подвойского, ул. Лопатина, пр. Солидарности,",Невский,504,2016-06-20,"10,8",EC773788-B31E-4825-97D4-05B80692625D
4 этап (утверждение документации ППТ),"Территория кварталов 4, 5, 6, 8, 9, 10, 11, 12, 46, 47, в Адмиралтейском и Московском районах",Адмиралтейский,208,2016-03-29,"68,3",710EBF20-3A15-4FF9-8F77-05C7B7F0401F
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Урицкого, Октябрьской ул., ул. Правды",Колпинский,837,2013-10-29,"10,5",B5636FA2-3BA8-4ED3-8417-06132DCDA04E
4 этап (утверждение документации ППТ),"Территория производственной зоны «Каменка», расположенной северо-восточнее и юго-западнее пересечения кольцевой автомобильной дороги вокруг Санкт-Петербурга и Западного скоростного диаметра, утвержденный постановлением Правительства Санкт-Петербурга от 24.05.2010 № 651",Выборгский,742,2018-09-19,"408,2",9A70F049-F74C-4B13-BF4F-0663A5C67F12
4 этап (утверждение документации ППТ),"Квартал 9 Б БКА, ограниченный Парашютной ул., Коломяжским пр., аллеей Котельникова и площадью Мациевича",Приморский,1609,2007-12-11,"12,7",55EC3C01-6A5E-4D3C-BDC3-06A1F20BF3E4
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Замшина, пр. Маршала Блюхера, Пискаревским пр., Бестужевской ул.",Калининский,80,2014-02-13,"54,9",86DB0D82-046F-4C3B-9F5F-076734D620FD
4 этап (утверждение документации ППТ),"Квартал 6 района Шувалово-Озерки, ограниченный ул. Жени Егоровой, ул. Прокофьева, ул. Композиторов и пр. Просвещения",Выборгский,1710,2007-12-25,"44,1",F943B505-1AF3-442E-8D53-077D51F0EEAA
4 этап (утверждение документации ППТ),"Граниченная Малым пр. Петроградской стороны, Ропшинской ул., Большим пр. Петроградской стороны, Красносельской ул.",Петроградский,1281,2010-09-23,"1,3",A8F779D5-FFAD-428D-A7C8-07C1A8FA3EF9
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Академика Байкова, Светлановским пр., Северным пр. И Тихорецким пр.",Калининский,1284,2010-09-23,"34,3",70693A11-8A11-4951-9125-084D40B87A3F
4 этап (утверждение документации ППТ),"Территория, ограниченная Гражданской ул., 1-м Путейским пер., Путейской ул., Кривоносовской ул.",Курортный,675,2010-05-25,2,7C107087-B036-40D5-B1FD-088128C62D1D
4 этап (утверждение документации ППТ),"Территория, ограниченная Глухой Зелениной ул., Малой Зелениной ул., Резной ул., наб. Адмирала Лазарева",Петроградский,506,2010-04-27,"5,6",1A73E1CD-A697-4471-96F6-089DB202019F
4 этап (утверждение документации ППТ),"Территория, ограниченная Пискаревским пр.,Муринским ручьем , административной границей Санкт-Петербурга, береговой линией реки Большая Охта,границей функциональной зоны «Д»,границей базисного квартала 5606, перспективной пробивкой Северного пр,",Красногвардейский,811,2014-09-03,"551,5",27A0BE39-EB0B-4A01-8489-09F9F2B9BAFF
4 этап (утверждение документации ППТ),"Территория, ограниченная Московским шоссе, р. Кузьминкой, Южной широтной магистралью и ж/д веткой Витебского направления («Шушары-3»)",Пушкинский,620,2007-05-29,"1160,3",DAF88B30-B18E-46CF-9017-0A25EA051CB2
4 этап (утверждение документации ППТ),"Территория, ограниченная трассой Западного скоростного диаметра, Приморским пр., створом Стародеревенской ул., береговой линией р. Большая Невка и Невской Губы",Приморский,1225,2014-12-22,"27,3",6544A382-62B3-483E-B654-0B48D2FB7B20
4 этап (утверждение документации ППТ),"Территория, ограниченная Б.Сампсониевским пр., Земледельческой ул., полосой отвода железной дороги",Выборгский,105,2014-02-18,"1,7",C66D78A0-8438-42D6-B1AF-0CEAF20B2821
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Бухарестской, ул. Салова, Софийской ул., ул. Фучика во Фрунзенском районе",Фрунзенский,127,2009-02-03,"65,8",C65A8FC1-E06B-4246-B7F9-0D17207DA4D6
4 этап (утверждение документации ППТ),"Территория, ограниченная Крестовским пр., Рюхиной ул., Морским пр., Спортивной ул.",Петроградский,1244,2012-11-27,"11,2",181D71E7-8A24-4F4D-A80A-0D82A8FE1C4B
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Косыгина, пр. Наставников, Ленской ул., Индустриальным пр.",Красногвардейский,609,2009-05-26,"32,5",DC8C48DE-3B9E-44D0-BC3A-0D8826709140
4 этап (утверждение документации ППТ),"Квартал 2 западной части Васильевского острова, ограниченного ул. Кораблестроителей, ул. Наличной и Новосмоленской наб.",Василеостровский,1076,2007-08-28,63,245DB3D7-C25F-4DEE-8759-0DABF7E15F0A
4 этап (утверждение документации ППТ),"Территория, ограниченная береговой линией р. Красненькой, проектным продолжением Брестского бульвара, ул. Маршала Казакова, проектируемым проездом, проектным продолжением ул. Морской Пехоты",Красносельский,55,2016-01-26,"37,3",C2F966C2-FA3F-4738-BEEB-0DF4DC4FA9D2
4 этап (утверждение документации ППТ),"Квартал, ограниченный ул. Бабушкина, Леснозаводской ул., Белевским пер. И ул. Шелгунова",Невский,70,2009-01-20,"10,7",2CFC7FF2-3958-49AB-81C8-0E1FB2F7ECFE
