№,Наименование организации,ИНН,ОГРН,Регион организации,Юридический адрес,Регион объекта,Адрес осуществления деятельности,Номер лицензии,Дата лицензии,Статус лицензии,Работы/услуги
1,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"194356, г. Санкт-Петербург, Выборгское шоссе, д.11, лит.А, 1-Н, ч.пом. №93",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
2,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"196233, г. Санкт-Петербург, Звездная ул., д. 16, лит. А, ч. Пом. 1-Н",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
3,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"195220, г. Санкт-Петербург, Кушелевская дорога, д.5, корп.1, лит.А, 7-Н, ч.пом. №1",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
4,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"191023, г. Санкт-Петербург, Караванная улица, д. 1, лит. А, 8-Н, пом. №12,13",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
5,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"192288, г. Санкт-Петербург, Малая Бухарестская ул., д. 15, лит. А, 1-Н, пом.№4,5,6, ч.пом.№1, ч.пом. №23",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
6,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"194064, г. Санкт-Петербург, Тихорецкий проспект, д. 10, корп.1, лит. А. Ч пом. 1-Н",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
7,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"198320, г. Санкт-Петербург, город Красное Село, Красногородская улица, д.17, корп.1, лит.А, 9-Н, пом. №51",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
8,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"197350, г. Санкт-Петербург, улица Парашютная, д.60, лит.А, 1-Н, пом.№3",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
9,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"198205, г. Санкт-Петербург, Старо-Паново, Таллинское шоссе, д.159, лит. А, 1-Н, пом. №35",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
10,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"192071, г. Санкт-Петербург, ул. Бабушкина, д. 40, строение 1, 1Н, ч.пом.№7",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
