Номер,Район города,Объект,"Площадь проезжей части, тыс. кв.м","Площадь тротуара, тыс. кв.м","Общая площадь, тыс. кв.м","Стоимость, тыс. руб",Примечания
1,АДМИРАЛТЕЙСКИЙ РАЙОН,Галерная ул.,4.12,2.3,6.42,17752.2,
2,АДМИРАЛТЕЙСКИЙ РАЙОН,Пл. Труда,13.26,1.71,14.97,46390.9,
3,АДМИРАЛТЕЙСКИЙ РАЙОН,Псковская ул.,3.75,2.92,6.67,18769.5,
4,АДМИРАЛТЕЙСКИЙ РАЙОН,Ул. Егорова,8.31,2.83,11.14,33150.5,
5,АДМИРАЛТЕЙСКИЙ РАЙОН,Прачечный пер.,1.34,0.81,2.15,6165.7,
6,АДМИРАЛТЕЙСКИЙ РАЙОН,Пер. Пирогова,3.29,1.77,5.06,14630.9,
7,ВАСИЛЕОСТРОВСКИЙ РАЙОН,Шкиперский проток (выборочно),31.22,12.41,43.63,128666.8,
8,ВАСИЛЕОСТРОВСКИЙ РАЙОН,Наличная ул. (от Малого пр. В.О до ул. Нахимова),22.31,8.91,31.22,92042.9,
9,ВАСИЛЕОСТРОВСКИЙ РАЙОН,14-15-я линии В.О.,21.3,12.74,34.04,97693,
10,ВАСИЛЕОСТРОВСКИЙ РАЙОН,Университетская наб.,28.47,7.48,35.95,108435.7,
11,ВАСИЛЕОСТРОВСКИЙ РАЙОН,18-19-я линии В.О.,14.24,9.83,24.07,65538.2,
12,ВАСИЛЕОСТРОВСКИЙ РАЙОН,Гаванская ул. (от Малого пр. В.О. До внутриквартального проезда),2.57,1.47,4.04,11152.1,
13,ВАСИЛЕОСТРОВСКИЙ РАЙОН,Кожевенная линия,15.33,6.23,21.56,60877.8,
14,ВАСИЛЕОСТРОВСКИЙ РАЙОН,Таможенный пер.,0.82,1.03,1.85,4805.5,
15,ВАСИЛЕОСТРОВСКИЙ РАЙОН,Двинский пер.,0.39,0.42,0.81,2130.2,
16,ВЫБОРГСКИЙ РАЙОН,Пироговская наб. От ул. Академика Лебедева до М. Сампсониевского пр.,53.05,0,53.05,152306.2,
17,ВЫБОРГСКИЙ РАЙОН,Выборгская наб. От М. Сампсониевского моста до наб. Черной речки,51.55,9.87,61.42,70159.5,
18,ВЫБОРГСКИЙ РАЙОН,Пр. Пархоменко от пр. Энгельса до 2-го Муринского пр.,12.53,7.17,19.7,54378.4,
19,ВЫБОРГСКИЙ РАЙОН,Песочное шоссе от Выборгского шоссе до Ленинградской ул.,19.78,0.65,20.43,62122.3,
20,ВЫБОРГСКИЙ РАЙОН,Ул. Александра Матросова (от Выборгской наб. До ул. Харченко),11.8,3.41,15.21,43779.3,
21,ВЫБОРГСКИЙ РАЙОН,Пр. Культуры,56.25,20,76.25,226351.3,
22,ВЫБОРГСКИЙ РАЙОН,Парковая ул.,26.36,0,26.36,84339,
23,ВЫБОРГСКИЙ РАЙОН,Ул. Курчатова,9.93,0,9.93,31771.1,
24,ВЫБОРГСКИЙ РАЙОН,1-й Муринский пр.,12.51,2.62,15.13,46101.5,
25,ВЫБОРГСКИЙ РАЙОН,Пл. Мужества,7.06,0,7.06,22588.5,
26,КАЛИНИНСКИЙ РАЙОН,Пл. Калинина,7.28,3.64,10.92,31733.4,
27,КАЛИНИНСКИЙ РАЙОН,Пр. Просвещения,6.22,0.69,6.91,21501,
28,КАЛИНИНСКИЙ РАЙОН,Ул. Вавиловых,12.23,8.37,20.6,58539.6,
29,КАЛИНИНСКИЙ РАЙОН,Свердловская наб. От Арсенальной ул. До Пискаревского пр.,50.57,14.14,64.71,33664.3,
30,КАЛИНИНСКИЙ РАЙОН,Арсенальная наб.,31.48,6.97,38.45,33081.9,
31,КАЛИНИНСКИЙ РАЙОН,Чугунная ул. От Литовской ул. До Полюстровского пр.,28.81,12.05,40.86,170237.7,
32,КАЛИНИНСКИЙ РАЙОН,Ул.Руставели от пр. Просвещения до Пискаревского пр.,125,14.25,139.25,415132.7,
33,КАЛИНИНСКИЙ РАЙОН,Новороссийская ул. От Политехнической ул. До Кушелевского п/провода,15.16,5.01,20.17,57643.8,
34,КАЛИНИНСКИЙ РАЙОН,Ул. Софьи Ковалевской,12.91,12.8,25.71,68061.6,
35,КИРОВСКИЙ РАЙОН,Пр. Маршала Жукова от пр. Ветеранов до пр. Народного Ополчения (боковой проезд),0.33,0,0.33,1436.5,
36,КИРОВСКИЙ РАЙОН,Пр. Стачек (от пл. Стачек до Ленинского пр.),138,35,173,501146.1,
37,КИРОВСКИЙ РАЙОН,Ул. Ивана Черных,9.34,4.47,13.81,38589.8,
38,КИРОВСКИЙ РАЙОН,Еленинский пер. (от ул. Швецова до ворот),0.81,0.02,0.83,2529.2,
39,КИРОВСКИЙ РАЙОН,Пр.Ветеранов,119.08,59.35,178.43,518627.2,
40,КИРОВСКИЙ РАЙОН,Дачный пр. (от Ленинского пр. До бульв. Новаторов),27.57,13.22,40.79,118867,
41,КОЛПИНСКИЙ РАЙОН,Ул. Софийская (от КАД (ПК13+17) до Колпинского шоссе),155.68,0,155.68,477562.5,
42,КОЛПИНСКИЙ РАЙОН,"Софийская ул. (от КАД до Колпинского шоссе, в том числе земляные съезды)",175.06,4.19,179.25,569805.8,
43,КРАСНОГВАРДЕЙСКИЙ РАЙОН,Шоссе Революции от ул. Химиков до ул. Коммуны,8.74,5.26,14,40161.4,
